index,pred,Preal,Prev
2020-01-06 19:00:00,1125.2462,1207.0,1139.526111111111
2020-01-06 20:00:00,1218.7726,1220.0,1158.0827777777777
2020-01-06 21:00:00,1244.3721,1232.0,1182.102222222222
2020-01-06 22:00:00,1239.852,1225.0,1204.052222222222
2020-01-06 23:00:00,1185.5352,1198.0,1182.3272222222222
2020-01-07 00:00:00,1144.2465,1148.0,1167.7627777777775
2020-01-07 01:00:00,1104.7479,1129.9,1155.2316666666666
2020-01-07 02:00:00,1088.9307,1094.0,1114.4255555555555
2020-01-07 03:00:00,1063.1217,1078.0,1069.0533333333333
2020-01-07 04:00:00,1047.7787,1054.0,1056.8238888888886
2020-01-07 05:00:00,1034.8136,1052.0,1019.8116666666664
2020-01-07 06:00:00,989.6891,959.0,976.3633333333332
2020-01-07 07:00:00,844.70776,864.4,869.913
2020-01-07 08:00:00,896.7694,869.1300000000003,911.225
2020-01-07 09:00:00,905.73145,929.43,961.11
2020-01-07 10:00:00,942.5811,956.82,991.2155555555556
2020-01-07 11:00:00,967.3691,973.54,1005.7894444444444
2020-01-07 12:00:00,963.8427,986.8699999999995,1006.0488888888888
2020-01-07 13:00:00,967.6671,992.0,1016.4955555555556
2020-01-07 14:00:00,991.17255,1031.03,1022.9544444444444
2020-01-07 15:00:00,1033.8976,1049.7399999999998,1039.2412499999996
2020-01-07 16:00:00,1039.2975,1046.72,1020.942
2020-01-07 17:00:00,1002.2261,1010.22,954.7343085
2020-01-07 18:00:00,998.2319,991.54,949.823888888889
2020-01-07 19:00:00,1217.2722,1188.54,1185.986666666667
2020-01-07 20:00:00,1219.512,1250.84,1217.1455555555556
2020-01-07 21:00:00,1276.853,1237.94,1234.6311111111113
2020-01-07 22:00:00,1257.5331,1249.54,1225.0
2020-01-07 23:00:00,1237.1484,1200.64,1220.0
2020-01-08 00:00:00,1163.7177,1224.24,1215.5544444444445
2020-01-08 01:00:00,1182.6307,1197.14,1182.8594444444443
2020-01-08 02:00:00,1166.729,1164.44,1143.4166666666667
2020-01-08 03:00:00,1134.4885,1145.94,1127.875
2020-01-08 04:00:00,1119.2942,1131.94,1107.6155555555556
2020-01-08 05:00:00,1099.103,1093.64,1078.0211111111114
2020-01-08 06:00:00,1028.8806,1014.94,1014.0355555555556
2020-01-08 07:00:00,872.30347,923.74,851.0777777777777
2020-01-08 08:00:00,939.82263,907.5,928.2255555555556
2020-01-08 09:00:00,934.8182,974.7,972.3744444444444
2020-01-08 10:00:00,988.6802,1000.0,988.5533333333332
2020-01-08 11:00:00,1007.96484,1068.4,1016.7605555555556
2020-01-08 12:00:00,1053.3126,1058.9,1015.8044444444444
2020-01-08 13:00:00,1042.1559,1039.5,1024.6166666666666
2020-01-08 14:00:00,1048.3737,1057.4,1044.911111111111
2020-01-08 15:00:00,1062.1066,1072.1,1065.26
2020-01-08 16:00:00,1063.121,1070.6,1070.2233333333334
2020-01-08 17:00:00,1023.479,1054.1,1015.51
2020-01-08 18:00:00,1037.7728,1010.7699999999996,1005.0722222222224
2020-01-08 19:00:00,1214.716,1243.33,1199.7511111111112
2020-01-08 20:00:00,1270.2922,1284.14,1220.238888888889
